Team,total_distance_traveled,Latitude,Longitude,logo,img_size
Atlanta Hawks,42189,33.76,-84.42,http://content.sportslogos.net/logos/6/220/thumbs/22091682016.gif,0.07
Boston Celtics,48327,42.34,-71.02,http://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif,0.1
Brooklyn Nets,39986,40.67,-73.94,http://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif,0.05
Charlotte Hornets,44260,35.2,-80.83,http://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif,0.09
Chicago Bulls,38242,41.84,-87.68,http://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif,0.05
Cleveland Cavaliers,35173,41.48,-81.68,http://content.sportslogos.net/logos/6/222/thumbs/22269212018.gif,0.05
Dallas Mavericks,43985,32.79,-96.77,http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif,0.07
Denver Nuggets,51208,39.77,-104.87,http://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif,0.12
Detroit Pistons,37700,42.38,-83.1,http://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif,0.05
Golden State Warriors,49727,37.77,-122.45,http://content.sportslogos.net/logos/6/235/thumbs/23531522020.gif,0.1
Houston Rockets,50936,29.77,-95.39,http://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif,0.12
Indiana Pacers,39336,39.78,-86.15,http://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif,0.05
Los Angeles Clippers,45293,34.11,-118.41,http://content.sportslogos.net/logos/6/236/thumbs/23654622016.gif,0.09
Los Angeles Lakers,54899,34.11,-118.41,http://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif,0.14
Memphis Grizzlies,48626,35.11,-90.01,http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif,0.1
Miami Heat,54450,25.78,-80.21,http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif,0.14
Milwaukee Bucks,43065,43.06,-87.97,http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif,0.07
Minnesota Timberwolves,52058,44.96,-93.27,http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif,0.14
New Orleans Pelicans,47546,30.07,-89.93,http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif,0.1
New York Knicks,42752,40.67,-73.94,http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif,0.07
Oklahoma City Thunder,45649,35.47,-97.51,http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif,0.09
Orlando Magic,46170,28.5,-81.37,http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif,0.09
Philadelphia 76ers,39386,40.01,-75.13,http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif,0.05
Phoenix Suns,49836,33.54,-112.07,http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif,0.1
Portland Trail Blazers,62250,45.54,-122.66,http://content.sportslogos.net/logos/6/239/thumbs/23997252018.gif,0.16
Sacramento Kings,45293,40,-121.47,http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif,0.09
San Antonio Spurs,43429,29.46,-98.51,http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif,0.07
Toronto Raptors,37658,43.65,-79.38,http://content.sportslogos.net/logos/6/227/thumbs/22745782016.gif,0.05
Utah Jazz,47587,40.78,-111.93,http://content.sportslogos.net/logos/6/234/thumbs/23467492017.gif,0.1
Washington Wizards,37458,38.91,-77.02,http://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif,0.05
